id,Time_spent_Alone,Stage_fear,Social_event_attendance,Going_outside,Drained_after_socializing,Friends_circle_size,Post_frequency,Personality,sum
168,7,0,3,0,0,4.0,2,1,185
169,7,0,1,1,0,0.0,1,1,181
170,1,0,0,3,0,12.0,6,0,192
171,2,0,7,4,0,11.0,0,0,195
172,2,0,8,6,0,11.0,3,0,202
173,2,0,9,6,0,12.0,7,0,209
174,3,0,10,3,0,4.0,8,0,202
175,2,0,6,5,0,12.0,7,0,207
176,10,0,7,3,0,8.0,5,0,199
177,4,0,8,0,0,11.0,7,0,207
178,3,0,3,6,0,4.0,8,0,202
179,10,0,0,2,0,4.0,0,1,196
180,8,0,3,0,0,5.0,1,1,199
181,1,0,9,3,0,8.0,4,0,206
182,11,0,4,1,0,1.0,0,1,201
183,10,0,6,7,0,14.0,4,0,214
184,1,0,7,4,0,5.0,8,0,209
185,3,0,4,4,0,10.0,5,0,211
186,1,0,7,4,0,6.0,0,0,204
187,10,0,2,3,0,3.0,1,1,208
188,0,0,6,4,0,15.0,8,0,221
189,6,0,3,0,0,4.0,1,1,205
190,6,0,3,2,0,5.0,0,1,207
191,0,0,9,0,0,12.0,4,0,216
192,2,0,5,5,0,13.0,3,0,220
193,1,0,4,0,0,15.0,7,0,220
194,2,0,9,6,0,7.0,9,0,227
195,0,0,7,0,0,12.0,4,0,218
196,3,0,4,5,0,5.0,5,0,218
197,1,0,4,6,0,12.0,5,0,225
198,2,0,9,3,0,10.0,9,0,231
199,3,0,8,4,0,7.996737263880939,3,0,217
200,1,0,4,0,0,6.0,0,0,211
201,0,0,7,4,0,7.996737263880939,6,0,218
202,2,0,5,5,0,13.0,9,0,236
203,1,0,3,7,0,10.0,8,0,232
204,0,0,6,5,0,14.0,3,0,232
205,7,0,3,1,0,7.996737263880939,3,1,221
206,1,0,8,3,0,10.0,9,0,237
207,1,0,9,6,0,7.996737263880939,10,0,233
208,0,0,4,0,0,10.0,4,0,226
209,0,0,8,3,0,15.0,9,0,244
210,6,0,0,2,0,0.0,1,1,221
211,10,0,3,1,0,7.996737263880939,1,1,228
212,1,0,8,3,0,7.0,0,0,231
213,8,0,2,1,0,4.0,1,1,230
214,4,0,2,0,0,0.0,0,1,221
215,1,0,6,0,0,8.0,9,0,239
216,5,0,1,2,0,2.0,1,1,228
217,10,0,8,0,0,15.0,4,0,244
218,3,0,9,6,0,9.0,6,0,251
219,10,0,9,7,0,6.0,8,0,249
220,9,0,1,0,0,0.0,0,1,231
221,1,0,8,5,0,7.996737263880939,8,0,243
222,0,0,10,4,0,11.0,4,0,251
223,3,0,5,4,0,8.0,6,0,249
224,3,0,8,6,0,13.0,5,0,259
225,2,0,5,4,0,7.0,6,0,249
226,4,0,7,4,0,6.0,7,0,254
227,3,0,9,7,0,9.0,4,0,259
228,1,0,8,4,0,10.0,3,0,254
229,0,0,7,0,0,7.996737263880939,9,0,245
230,3,0,5,4,0,11.0,9,0,262
231,0,0,5,3,0,7.996737263880939,3,0,242
232,11,0,1,0,0,4.0,2,1,252
233,2,0,8,4,0,5.0,9,0,261
234,11,0,2,1,0,7.996737263880939,0,1,250
235,2,0,4,3,0,5.0,10,0,259
236,9,0,1,0,0,3.0,0,1,250
237,0,0,4,6,0,9.0,6,0,262
238,11,0,2,2,0,1.0,0,1,256
239,11,0,3,1,0,4.0,3,1,263
240,0,0,5,5,0,13.0,3,0,266
241,2,0,1,2,0,2.0,1,1,251
242,3,0,0,5,0,12.0,10,0,272
243,3,0,6,7,0,10.0,6,0,275
244,4,0,4,5,0,9.0,4,0,270
245,10,0,3,5,0,5.0,4,1,272
246,3,0,5,4,0,15.0,6,0,279
247,10,0,9,6,0,11.0,5,0,278
248,7,0,4,4,0,7.0,7,0,277
249,10,0,1,2,0,2.0,2,1,267
250,1,0,9,4,0,12.0,6,0,282
251,1,0,7,6,0,5.0,3,0,273
252,10,0,0,1,0,2.0,0,1,266
253,1,0,10,3,0,14.0,8,0,289
254,10,0,8,4,0,11.0,7,0,284
255,1,0,8,3,0,5.0,7,0,279
256,0,0,9,4,0,13.0,6,0,288
257,10,0,5,6,0,12.0,4,0,284
258,2,0,6,6,0,13.0,5,0,290
259,10,0,2,1,0,1.0,3,1,278
260,10,0,0,0,0,7.996737263880939,1,1,263
261,3,0,6,4,0,9.0,8,0,291
262,7,0,0,0,0,4.0,2,1,277
263,6,0,0,0,0,7.996737263880939,2,1,273
264,2,0,9,6,0,4.0,3,0,288
265,10,0,0,2,0,0.0,3,1,282
266,2,0,8,3,0,14.0,7,0,300
267,8,0,3,3,0,3.0,2,1,288
268,9,0,0,2,0,2.0,2,1,285
269,1,0,9,4,0,11.0,0,0,294
270,0,0,7,7,0,10.0,7,0,301
271,4,0,0,0,0,5.0,3,1,284
272,4,0,5,3,0,12.0,3,1,299
273,1,0,5,3,0,4.0,7,0,293
274,3,0,5,6,0,7.0,9,0,304
275,3,0,6,7,0,6.0,7,0,304
276,6,0,0,0,0,1.0,0,1,284
277,4,0,0,0,0,7.996737263880939,0,1,283
278,3,0,8,3,0,14.0,6,0,312
279,8,0,4,1,0,3.0,0,1,297
280,3,0,9,7,0,14.0,3,0,316
281,2,0,6,5,0,9.0,3,0,306
282,10,0,6,5,0,8.0,5,0,306
283,8,0,3,0,0,5.0,1,1,301
284,7,0,3,0,0,4.0,0,1,300
285,10,0,9,5,0,12.0,6,1,317
286,1,0,7,5,0,8.0,6,0,313
287,3,0,6,7,0,11.0,3,0,317
288,10,0,3,2,0,5.0,2,1,311
289,5,0,0,2,0,1.0,3,1,302
290,1,0,5,6,0,6.0,4,0,312
291,0,0,5,4,0,6.0,4,0,310
292,0,0,6,6,0,12.0,3,0,319
293,10,0,3,0,0,5.0,0,1,312
294,10,0,3,1,0,2.0,1,1,312
295,10,0,1,3,0,4.0,3,1,318
296,3,0,5,7,0,14.0,3,0,328
297,1,0,3,6,0,10.0,5,0,322
298,4,0,8,3,0,12.0,5,0,330
299,2,0,9,6,0,13.0,10,0,339
300,2,0,4,6,0,9.0,7,0,328
301,3,0,7,7,0,14.0,10,0,342
302,10,0,6,4,0,11.0,0,0,323
303,2,0,8,5,0,15.0,9,0,342
304,5,0,2,1,0,2.0,1,1,317
305,1,0,4,4,0,12.0,5,0,331
306,0,0,0,3,0,12.0,4,0,325
307,9,0,0,0,0,5.0,2,1,325
308,1,0,5,3,0,10.0,6,0,333
309,11,0,2,2,0,0.0,0,1,326
310,1,0,5,5,0,13.0,8,0,342
311,0,0,4,3,0,9.0,3,0,330
312,9,0,1,1,0,5.0,1,1,330
313,6,0,0,0,0,0.0,0,1,321
314,3,0,10,7,0,13.0,7,0,354
315,2,0,6,3,0,10.0,4,0,340
316,2,0,6,4,0,13.0,7,0,348
317,6,0,0,3,0,3.0,2,1,333
318,0,0,5,7,0,13.0,7,0,350
319,7,0,1,0,0,4.0,0,1,333
320,10,0,2,1,0,3.0,0,1,328
321,10,0,2,2,0,2.0,2,1,330
322,10,0,3,0,0,4.0,3,1,343
323,7,0,1,0,0,4.0,2,1,339
324,0,0,6,7,0,4.0,8,0,349
325,2,0,9,6,0,14.0,9,0,365
326,3,0,3,3,0,6.0,5,0,346
327,0,0,4,6,0,12.0,8,0,357
328,2,0,0,4,0,4.0,5,0,343
329,2,0,5,3,0,10.0,0,0,349
330,11,0,2,0,0,4.0,2,1,351
331,2,0,7,3,0,8.0,8,0,359
332,2,0,4,3,0,8.0,9,0,358
333,0,0,6,3,0,11.0,7,0,360
334,3,0,5,5,0,7.0,7,0,361
335,3,0,9,5,0,7.996737263880939,3,0,355
336,2,0,5,6,0,9.0,8,0,366
337,0,0,9,7,0,9.0,7,0,369
338,10,0,9,6,0,13.0,8,1,374
339,1,0,5,6,0,4.0,5,0,360
340,0,0,8,4,0,9.0,5,0,366
341,2,0,9,3,0,5.0,7,0,367
342,1,0,9,4,0,5.0,3,0,364
343,2,0,5,3,0,11.0,0,0,364
344,1,0,5,4,0,11.0,0,0,365
345,0,0,5,7,0,14.0,7,0,378
346,10,0,0,0,0,5.0,1,1,364
347,3,0,9,6,0,14.0,8,0,387
348,1,0,6,6,0,14.0,9,0,384
349,1,0,0,3,0,6.0,4,0,363
350,2,0,5,5,0,14.0,3,0,379
351,0,0,8,5,0,14.0,10,0,388
352,4,0,10,4,0,7.0,7,0,384
353,3,0,6,7,0,9.0,4,0,382
354,10,0,10,4,0,12.0,5,0,385
355,2,0,5,3,0,7.996737263880939,3,0,368
356,2,0,7,3,0,15.0,7,0,390
357,4,0,5,5,0,13.0,8,0,392
358,2,0,8,4,0,15.0,6,0,393
359,3,0,8,6,0,7.996737263880939,6,0,382
360,4,0,3,2,0,2.0,3,1,376
361,2,0,6,5,0,3.0,9,0,386
362,2,0,4,3,0,4.0,3,0,378
363,4,0,3,1,0,7.996737263880939,0,1,373
364,0,0,7,7,0,4.0,3,0,385
365,2,0,8,5,0,13.0,3,0,396
366,1,0,4,0,0,5.0,9,0,385
367,10,0,5,5,0,10.0,5,0,392
368,4,0,3,2,0,1.0,0,1,379
369,10,0,5,6,0,11.0,6,0,397
370,5,0,2,2,0,7.996737263880939,2,1,382
371,1,0,3,5,0,6.0,6,0,392
372,4,0,3,3,0,4.0,3,1,391
373,8,0,1,0,0,5.0,1,1,390
374,2,0,0,5,0,3.0,9,0,393
375,11,0,0,2,0,7.996737263880939,0,1,390
376,2,0,3,4,0,6.0,7,0,398
377,10,0,4,4,0,5.0,9,0,399
378,0,0,5,4,0,10.0,5,0,402
379,2,0,9,4,0,10.0,9,0,413
380,7,0,0,1,0,3.0,0,1,392
381,10,0,6,3,0,7.0,8,0,405
382,0,0,9,7,0,7.0,5,0,410
383,2,0,8,7,0,10.0,6,0,416
384,9,0,0,0,0,10.0,2,1,407
385,2,0,0,6,0,11.0,6,0,410
386,10,0,3,1,0,5.0,0,1,407
387,1,0,4,4,0,10.0,9,0,415
388,8,0,0,2,0,2.0,2,1,404
389,0,0,5,7,0,10.0,0,0,411
390,0,0,5,5,0,7.0,7,0,414
391,3,0,7,6,0,14.0,7,0,428
392,10,0,1,1,0,2.0,2,1,400
393,3,0,5,5,0,8.0,9,0,423
394,0,0,7,3,0,15.0,4,0,423
395,0,0,6,5,0,7.0,3,0,416
396,6,0,0,2,0,4.0,1,1,411
397,3,0,3,5,0,5.0,0,0,413
398,4,0,2,2,0,7.0,2,0,417
399,1,0,5,5,0,12.0,0,0,422
400,2,0,0,3,0,5.0,3,0,413
401,1,0,7,5,0,9.0,10,0,433
402,7,0,3,1,0,1.0,3,1,419
403,6,0,1,0,0,3.0,2,0,416
404,3,0,6,4,0,14.0,4,0,435
405,10,0,8,7,0,9.0,7,0,436
406,10,0,5,5,0,10.0,9,0,435
407,7,0,3,2,0,5.0,1,1,426
408,0,0,8,5,0,10.0,7,0,438
409,0,0,9,6,0,5.0,7,0,436
410,0,0,7,5,0,10.0,7,0,439
411,3,0,5,6,0,10.0,5,0,440
412,2,0,9,7,0,6.0,5,0,441
413,0,0,8,3,0,7.0,4,0,435
414,1,0,4,5,0,5.0,6,0,435
415,1,0,4,7,0,9.0,4,0,440
416,3,0,5,0,0,11.0,6,0,441
417,4,0,7,3,0,6.0,8,0,445
418,9,0,2,2,0,2.0,1,1,435
419,0,0,7,3,0,11.0,5,0,445
420,1,0,0,4,0,7.0,10,0,442
421,3,0,6,7,0,8.0,9,0,454
422,8,0,0,2,0,2.0,2,1,437
423,3,0,5,4,0,7.996737263880939,8,0,443
424,0,0,4,7,0,9.0,4,0,448
425,1,0,6,5,0,5.0,5,0,447
426,7,0,3,1,0,4.0,1,1,444
427,1,0,7,0,0,10.0,8,0,453
428,2,0,9,0,0,11.0,5,0,455
429,2,0,4,4,0,12.0,7,0,458
430,1,0,7,5,0,5.0,7,0,455
431,1,0,9,5,0,12.0,6,0,464
432,4,0,1,0,0,3.0,0,1,441
433,2,0,4,5,0,9.0,0,0,453
434,7,0,0,2,0,0.0,3,1,448
435,3,0,6,0,0,13.0,4,0,461
436,0,0,6,3,0,15.0,6,0,466
437,0,0,4,4,0,7.0,6,0,458
438,10,0,1,1,0,2.0,0,1,444
439,3,0,0,5,0,4.0,4,0,455
440,2,0,7,5,0,7.996737263880939,8,0,462
441,4,0,5,5,0,12.0,10,0,477
442,11,0,0,3,0,2.0,0,1,460
443,4,0,1,7,0,2.0,7,0,466
444,1,0,6,6,0,13.0,0,0,470
445,2,0,4,5,0,12.0,10,0,478
446,3,0,7,6,0,10.0,7,0,479
447,4,0,6,5,0,8.0,4,0,474
448,2,0,9,3,0,10.0,3,0,475
449,9,0,0,0,0,2.0,1,1,462
450,2,0,3,3,0,4.0,6,0,468
451,3,0,6,6,0,8.0,10,0,484
452,10,0,2,0,0,0.0,1,1,457
453,0,0,3,4,0,6.0,6,0,472
454,3,0,0,5,0,6.0,3,0,471
455,1,0,9,7,0,12.0,6,0,490
456,0,0,3,6,0,4.0,5,0,474
457,4,0,2,2,0,0.0,2,1,469
458,3,0,0,7,0,8.0,6,0,482
459,2,0,0,5,0,6.0,8,0,480
460,2,0,9,4,0,14.0,4,0,493
461,2,0,5,7,0,12.0,5,0,492
462,5,0,0,0,0,2.0,2,1,473
463,2,0,8,6,0,11.0,7,0,497
464,7,0,1,0,0,15.0,2,1,491
465,4,0,4,7,0,10.0,4,0,494
466,2,0,10,6,0,9.0,9,0,502
467,3,0,9,5,0,7.0,8,0,499
468,10,0,3,0,0,7.996737263880939,0,1,482
469,3,0,5,5,0,5.0,0,0,487
470,11,0,1,0,0,2.0,1,1,487
471,6,0,0,0,0,1.0,2,1,482
472,6,0,2,1,0,5.0,0,1,488
473,1,0,6,5,0,14.0,7,0,506
474,1,0,9,6,0,13.0,8,0,511
475,0,0,4,7,0,9.0,5,0,500
476,4,0,9,7,0,11.0,8,0,515
477,1,0,7,7,0,4.0,7,0,503
478,3,0,7,5,0,7.996737263880939,5,0,498
479,1,0,5,4,0,13.0,4,0,506
480,9,0,4,2,0,3.0,2,1,502
481,3,0,7,4,0,11.0,4,0,510
482,1,0,4,7,0,4.0,3,0,501
483,2,0,9,7,0,4.0,7,0,512
484,0,0,8,6,0,6.0,9,0,513
485,1,0,9,0,0,9.0,3,0,507
486,1,0,9,5,0,10.0,7,0,518
487,7,0,1,2,0,5.0,3,1,507
488,1,0,4,3,0,7.0,6,0,509
489,0,0,9,5,0,5.0,8,0,516
490,0,0,4,3,0,14.0,0,0,511
491,5,0,3,1,0,5.0,1,1,508
492,2,0,6,5,0,12.0,3,0,520
493,7,0,3,2,0,4.0,1,1,512
494,10,0,9,3,0,14.0,4,0,524
495,7,0,0,1,0,2.0,2,1,508
496,5,0,2,2,0,3.0,1,1,511
497,1,0,8,4,0,3.0,8,0,521
498,11,0,3,0,0,3.0,1,1,518
499,1,0,6,5,0,5.0,7,0,523
500,1,0,6,7,0,6.0,4,0,524
501,9,0,0,3,0,4.0,0,1,519
502,0,0,9,5,0,9.0,3,0,528
503,11,0,1,2,0,3.0,1,0,522
504,3,0,10,7,0,7.0,8,0,539
505,2,0,9,5,0,8.0,9,0,538
506,3,0,9,4,0,6.0,0,0,528
507,5,0,0,2,0,4.0,0,1,520
508,3,0,5,0,0,11.0,7,0,534
509,10,0,7,5,0,9.0,9,0,539
510,1,0,5,5,0,11.0,9,0,541
511,5,0,0,0,0,0.0,0,1,518
512,10,0,9,6,0,11.0,8,0,546
513,2,0,4,4,0,11.0,0,0,534
514,11,0,2,0,0,5.0,0,1,532
515,3,0,4,3,0,7.0,6,0,538
516,3,0,7,5,0,3.0,4,0,538
517,1,0,0,5,0,7.0,7,0,537
518,11,0,1,1,0,4.0,3,0,540
519,2,0,7,4,0,11.0,4,0,547
520,6,0,0,3,0,5.0,0,1,536
521,0,0,4,4,0,10.0,10,0,549
522,1,0,5,4,0,8.0,0,0,540
523,1,0,4,7,0,5.0,7,0,547
524,2,0,9,6,0,15.0,4,0,560
525,3,0,3,5,0,8.0,6,0,550
526,3,0,8,0,0,15.0,6,0,558
527,0,0,5,4,0,12.0,7,0,555
528,4,0,2,3,0,1.0,0,1,540
529,10,0,0,2,0,4.0,2,1,539
530,3,0,10,5,0,6.0,3,0,557
531,3,0,9,6,0,5.0,3,0,557
532,1,0,5,4,0,7.996737263880939,3,0,545
533,2,0,9,4,0,6.0,6,0,560
534,4,0,9,4,0,10.0,3,0,564
535,1,0,0,5,0,14.0,8,0,563
536,11,0,0,3,0,0.0,2,1,554
537,0,0,6,5,0,6.0,9,0,563
538,3,0,8,3,0,7.0,8,0,567
539,2,0,5,6,0,15.0,8,0,575
540,10,0,0,2,0,4.0,0,1,547
541,7,0,2,2,0,3.0,1,1,557
542,1,0,6,6,0,9.0,4,0,568
543,0,0,7,6,0,15.0,0,0,571
544,8,0,2,0,0,5.0,1,1,561
545,6,0,2,2,0,4.0,0,1,560
546,4,0,3,1,0,7.996737263880939,2,1,558
547,2,0,10,6,0,10.0,6,1,581
548,5,0,0,0,0,2.0,0,1,557
549,10,0,0,0,0,4.0,0,1,565
550,1,0,5,6,0,7.996737263880939,3,0,565
551,4,0,0,0,0,5.0,0,1,562
552,2,0,0,4,0,5.0,4,0,567
553,3,0,5,4,0,6.0,7,0,578
554,4,0,4,5,0,6.0,10,0,583
555,2,0,8,5,0,8.0,3,0,581
556,6,0,2,1,0,4.0,1,1,572
557,2,0,9,5,0,11.0,0,0,584
558,3,0,2,1,0,2.0,1,0,569
559,10,0,2,0,0,8.0,0,0,571
560,10,0,2,1,0,3.0,2,1,579
561,1,0,9,4,0,13.0,4,1,592
562,1,0,7,3,0,7.0,7,0,587
563,10,0,6,3,0,10.0,5,0,587
564,10,0,2,3,0,5.0,1,1,587
565,7,0,1,1,0,3.0,0,1,578
566,2,0,7,3,0,8.0,9,0,595
567,3,0,9,3,0,15.0,0,0,597
568,0,0,8,5,0,15.0,6,0,602
569,1,0,5,3,0,8.0,8,0,594
570,3,0,0,6,0,6.0,9,0,594
571,0,0,5,3,0,7.996737263880939,6,0,585
572,2,0,5,6,0,10.0,6,0,601
573,0,0,8,7,0,10.0,4,0,602
574,2,0,4,3,0,4.0,5,0,592
575,1,0,0,5,0,11.0,5,0,597
576,7,0,3,2,0,7.996737263880939,1,1,591
577,11,0,0,1,0,5.0,2,1,597
578,2,0,9,5,0,7.0,10,0,611
579,7,0,0,2,0,3.0,1,1,593
580,0,0,8,6,0,14.0,9,0,617
581,0,0,4,5,0,15.0,5,0,610
582,6,0,3,1,0,2.0,2,1,597
583,10,0,3,0,0,0.0,1,1,598
584,1,0,8,3,0,14.0,4,0,614
585,10,0,9,5,0,10.0,4,0,613
586,9,0,0,1,0,1.0,1,1,600
587,3,0,4,4,0,7.0,4,0,609
588,1,0,0,5,0,8.0,5,0,607
589,10,0,6,7,0,7.0,4,0,613
590,10,0,7,3,0,5.0,4,0,609
591,1,0,8,5,0,7.996737263880939,6,0,611
592,3,0,8,6,0,5.0,7,0,621
593,0,0,10,7,0,14.0,6,0,630
594,2,0,3,5,0,6.0,7,0,617
595,3,0,0,7,0,11.0,8,0,624
596,2,0,7,3,0,7.0,3,0,618
597,7,0,0,1,0,3.0,0,1,610
598,1,0,4,7,0,11.0,9,0,630
599,10,0,4,6,0,11.0,3,0,623
600,4,0,8,5,0,15.0,4,0,636
601,3,0,4,3,0,12.0,5,0,628
602,2,0,8,4,0,14.0,7,0,637
603,3,0,4,3,0,13.0,7,0,633
604,0,0,6,5,0,10.0,9,0,634
605,10,0,6,6,0,12.0,5,0,634
606,3,0,8,4,0,13.0,7,0,641
607,6,0,0,0,0,4.0,0,1,619
608,1,0,0,5,0,10.0,5,0,629
609,3,0,9,0,0,10.0,8,0,639
610,1,0,5,5,0,7.0,10,0,638
611,4,0,9,4,0,7.0,9,0,644
612,10,0,5,4,0,8.0,6,0,635
613,2,0,6,5,0,7.996737263880939,5,0,631
614,7,0,0,0,0,1.0,0,1,624
615,2,0,7,4,0,12.0,0,0,640
616,2,0,3,5,0,4.0,2,0,632
617,3,0,6,4,0,4.0,6,0,640
618,10,0,0,3,0,8.0,5,0,634
619,2,0,4,3,0,13.0,5,0,646
620,1,0,6,5,0,6.0,5,0,643
621,9,0,3,2,0,5.0,2,1,643
